entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
High-middle SDI,2008,0.268071,0.567642,0.190237,3.819224,1.064434,3.617555,1.952619
Honduras,2008,0.187524,0.746205,0.190266,2.845082,0.682917,2.724235,1.764129
Hungary,2008,0.203766,0.701496,0.223001,3.462003,0.712769,2.795158,2.227769
Iceland,2008,0.257044,0.963703,0.534992,5.267682,0.690535,3.367176,1.205389
India,2008,0.263258,0.554323,0.131158,3.294631,0.499075,3.691869,1.308256
Indonesia,2008,0.223427,0.53887,0.126898,3.270112,0.558683,2.618158,0.620544
Iran,2008,0.200773,0.814339,0.220348,7.068564,2.112161,4.915721,0.611757
Iraq,2008,0.18647,0.663798,0.181688,4.68976,1.74307,3.687278,0.652285
Ireland,2008,0.323275,0.80227,0.513723,5.781831,1.087095,4.35549,2.066202
Israel,2008,0.262041,0.922285,0.43343,3.056002,0.682852,4.11655,0.528356
Italy,2008,0.236887,0.945596,0.625617,5.54545,1.407807,3.430772,0.461949
Jamaica,2008,0.198634,0.925444,0.254964,4.565765,0.946205,2.56029,1.421946
Japan,2008,0.298689,0.687476,0.456972,3.531299,0.867412,3.104944,0.563486
Jordan,2008,0.192194,0.810098,0.177492,4.917992,1.466427,3.61251,0.64521
Kazakhstan,2008,0.19461,0.664446,0.198485,2.598328,0.65453,3.542525,3.498564
Kenya,2008,0.168861,0.640304,0.124222,3.612323,0.469507,3.611467,1.267789
Kiribati,2008,0.208426,0.423659,0.092406,3.270157,0.708019,3.190502,1.038504
Kuwait,2008,0.214605,0.857499,0.328878,4.798497,1.52157,3.54323,0.681294
Kyrgyzstan,2008,0.179871,0.661881,0.11825,2.552996,0.537207,3.092692,3.018086
Laos,2008,0.207432,0.529568,0.105734,4.18263,0.667032,2.870565,0.92243
Latin America and Caribbean,2008,0.20288,0.93058,0.269306,4.594548,0.860046,3.139063,2.104359
Latvia,2008,0.196366,0.695049,0.205164,2.943305,1.011188,3.526203,4.456459
Lebanon,2008,0.196794,0.991735,0.20818,6.016215,1.998719,3.826748,0.650286
Lesotho,2008,0.158345,0.60443,0.124332,3.468947,0.740564,5.568149,1.671556
Liberia,2008,0.159301,0.628641,0.084794,2.866956,0.501514,3.769009,0.940963
Libya,2008,0.198904,0.804272,0.242741,4.957624,2.413244,3.781009,0.685595
Lithuania,2008,0.195964,0.695029,0.205044,2.918991,0.576679,4.239608,4.486387
Low SDI,2008,0.212784,0.590072,0.106326,3.51508,0.553313,3.691784,1.312886
Low-middle SDI,2008,0.231351,0.605099,0.140014,3.63333,0.704028,3.75187,1.338429
Luxembourg,2008,0.262918,0.934678,0.724201,5.329057,0.965489,3.662968,1.387289
Macedonia,2008,0.199933,0.708722,0.167228,3.392491,0.474446,2.347165,1.846125
Madagascar,2008,0.163277,0.630388,0.10204,3.545418,0.489286,3.697655,1.501045
Malawi,2008,0.152783,0.601829,0.095316,3.590925,0.496438,3.349879,1.612981
Malaysia,2008,0.247105,0.577042,0.183555,4.484192,0.651567,3.39477,0.644121
Maldives,2008,0.235794,0.561184,0.151764,3.257984,0.631415,3.269942,0.774779
Mali,2008,0.166169,0.626455,0.110621,2.878216,0.424699,2.925946,0.894785
Malta,2008,0.256127,0.961901,0.479273,5.320182,0.865594,3.348204,1.087633
Marshall Islands,2008,0.217145,0.428433,0.107981,3.227234,0.76391,3.121055,1.212313
Mauritania,2008,0.176887,0.658756,0.133777,2.914539,0.481907,3.014705,0.91571
Mauritius,2008,0.237056,0.563208,0.165671,3.316027,0.688959,3.576573,1.255266
Mexico,2008,0.209978,0.814657,0.307435,3.187032,0.783102,2.776403,1.711196
Micronesia (country),2008,0.218986,0.436699,0.108007,3.253417,0.765552,3.152224,1.1585
Middle SDI,2008,0.259525,0.533615,0.157503,3.373095,0.819317,3.22418,1.250268
Moldova,2008,0.180635,0.67721,0.126933,2.877323,0.618172,3.448075,3.875416
Mongolia,2008,0.185212,0.651391,0.15016,2.511849,0.510565,3.56917,3.339119
Montenegro,2008,0.200973,0.7108,0.178399,3.428802,0.633187,2.587327,1.825525
Morocco,2008,0.184195,0.77836,0.158754,4.981684,1.509504,5.715825,0.56735
Mozambique,2008,0.153238,0.607104,0.09236,3.61353,0.51037,3.869795,1.67181
Myanmar,2008,0.203752,0.506271,0.099571,3.281723,0.565027,2.250329,0.860446
Namibia,2008,0.173958,0.628216,0.180801,3.482315,0.745619,3.403207,1.703024
Nepal,2008,0.244881,0.579426,0.113574,3.815431,0.489601,3.723817,1.453426
Netherlands,2008,0.374991,0.947308,0.433348,6.515048,0.927993,4.038992,0.721772
New Zealand,2008,0.34092,1.20405,0.656645,8.675114,2.085247,4.039094,1.625692
Nicaragua,2008,0.1974,0.795389,0.190207,2.900724,0.568379,2.880336,2.078399
Niger,2008,0.162074,0.62968,0.090322,2.881268,0.440963,3.437595,0.903786
Nigeria,2008,0.177741,0.639285,0.141515,2.875947,0.44769,4.157497,0.936443
North Africa and Middle East,2008,0.194226,0.789814,0.198842,4.966172,1.637206,3.971026,0.654435
North America,2008,0.336477,0.659763,0.527656,6.633878,2.903247,4.694171,1.980455
North Korea,2008,0.23397,0.325924,0.090433,3.262235,0.876054,3.136394,1.323067
Northern Ireland,2008,0.26019,1.141555,0.515163,8.120173,1.281803,4.343706,1.131147
Northern Mariana Islands,2008,0.261738,0.488567,0.218116,3.317501,0.766164,3.08933,1.462922
Norway,2008,0.21157,0.858123,0.565063,7.630394,0.946343,3.612773,1.430309
